id,name,category,city,rating,avg_cost_inr,best_months,activities,description,lat,lon,user_score
1,Beach Spot 1,beach,Dehradun,4.5,64,"3,5",sunbathing;picnic,"Beach Spot 1 in Dehradun: a beach destination great for sunbathing and picnic. Best months: Mar, May.",29.766,77.604,5.0
2,Forest Spot 2,forest,Rishikesh,4.0,24,"9,10",wildlife;trekking,"Forest Spot 2 in Rishikesh: a forest destination great for wildlife and trekking. Best months: Sep, Oct.",30.268,80.333,5.0
3,Beach Spot 3,beach,Lansdowne,4.6,145,"3,4",picnic;sunbathing,"Beach Spot 3 in Lansdowne: a beach destination great for picnic and sunbathing. Best months: Mar, Apr.",28.778,77.839,5.0
4,Mountain Spot 4,mountain,Bageshwar,3.5,27,"4,9,10",scenic drives;photography,"Mountain Spot 4 in Bageshwar: a mountain destination great for scenic drives and photography. Best months: Apr, Sep, Oct.",30.356,80.516,5.0
5,River Spot 5,river,Rishikesh,4.4,28,"3,5,6",rafting;kayaking,"River Spot 5 in Rishikesh: a river destination great for rafting and kayaking. Best months: Mar, May, Jun.",29.334,79.725,5.0
6,Mountain Spot 6,mountain,Nainital,3.7,57,"4,5,6",mountain-climbing;hiking,"Mountain Spot 6 in Nainital: a mountain destination great for mountain-climbing and hiking. Best months: Apr, May, Jun.",29.887,78.445,5.0
7,River Spot 7,river,Rishikesh,4.4,171,"3,4,5,9",swimming;rafting,"River Spot 7 in Rishikesh: a river destination great for swimming and rafting. Best months: Mar, Apr, May, Sep.",29.133,80.8,5.0
8,Mountain Spot 8,mountain,Rishikesh,4.3,91,"4,5,9,10",mountain-climbing;scenic drives,"Mountain Spot 8 in Rishikesh: a mountain destination great for mountain-climbing and scenic drives. Best months: Apr, May, Sep, Oct.",30.184,78.42,5.0
9,River Spot 9,river,Jim Corbett,4.8,91,"3,4,6",rafting;fishing,"River Spot 9 in Jim Corbett: a river destination great for rafting and fishing. Best months: Mar, Apr, Jun.",28.959,78.06,5.0
10,City Spot 10,city,Bageshwar,3.1,88,"1,2,3,5,6,7,8,9,10,11,12",heritage walk;museums,"City Spot 10 in Bageshwar: a city destination great for heritage walk and museums. Best months: Jan, Feb, Mar, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec.",29.861,80.838,5.0
